Profile Cohort,PROFILE_GENDER_DESC,PROFILE_RESIDENCE_DESC,Years to Graduation,Admit Group,College,AwC,Ethnicity,YR4Code,YR4NUM,YR5Code,YR5NUM,YR6Code,YR6NUM,YRallCode,YRallNUM,Grad Semester1,DEGREE_DESC,Overall College,MAJOR_DESC,HONOR_DESC,Change College,Change Major,PROFILE_ADMISSIONS_POPULATION,PROFILE_COLLEGE_DESC,PROFILE_MAJOR_DESC,PROFILE_HIGH_SCHOOL_PERCENTILE,SCHOOL_SIZE,MAX(M),MAX(CR),MAX(W),MAX(M+CR),MAX(Total),CoreGPA,Round(CoreGPA),EnglGPA,Round(EnglGPA),MthGPA,Round(MthGPA),LabGPA,Round(LabGPA),FL-Subj,FL-GPA,Round(FL-GPA),AP CALC AB Score,AP CALC ABsub Score,AP CALC BC Score,AP CHEM Score,AP PHYS B Score,AP PHYS Celec Score,AP PHYS Cmech Score
201110.0,Male,Resident,0.0,II,3.0,23.0,2BY,N,230.0,N,230.0,N,,N,,,,,,,,,B,College of Engineering,First Year Engineering,,,600.0,500.0,490.0,1100.0,1590.0,3.31,3.3,3.48,3.5,3.16,3.2,3.34,3.3,GERM,3.73,3.7,,,,,,,
201110.0,Female,Resident,5.0,II,5.0,25.0,2BY,NYY,250.0,GYY,251.0,GYY,,GYY,,201510.0,BA,College of Liberal Arts,CRTV - Creative Writing,,YES,YES,B,College of Engineering,Civil Engineering,65.0,756.0,620.0,570.0,640.0,1190.0,1830.0,3.07,3.1,3.29,3.3,2.76,2.8,2.68,2.7,FREN,3.5,3.5,,,,,,,
201110.0,Male,Resident,4.0,II,8.0,28.0,2BY,GYY,281.0,GYY,281.0,GYY,,GYY,,201420.0,BS,College of Science,CS - Computer Science,,YES,YES,SB,College of Engineering,First Year Engineering,96.0,455.0,680.0,690.0,730.0,1370.0,2100.0,3.93,3.9,4.0,4.0,3.67,3.7,4.0,4.0,JAPN,4.0,4.0,5.0,,,,,,
201110.0,Male,Non-Resident,4.0,II,3.0,23.0,2BY,GNN,231.0,GNN,231.0,GNN,,GNN,,201420.0,BS,College of Engineering,ECEB - Electrical Engineering,,NO,NO,B,College of Engineering,Electrical Engineering,95.0,357.0,740.0,670.0,630.0,1410.0,2040.0,3.97,4.0,3.9,3.9,3.95,4.0,4.0,4.0,SPAN,4.0,4.0,2.0,,,,,,
201110.0,Female,Resident,4.0,II,4.0,24.0,2BY,GNN,241.0,GNN,241.0,GNN,,GNN,,201420.0,BS,College of Health & Human Sci,PSYS - Psychological Sciences,,NO,NO,B,College of Health & Human Sci,Pre Psychology,73.0,299.0,440.0,450.0,480.0,890.0,1370.0,2.89,2.9,3.19,3.2,3.0,3.0,2.45,2.5,SPAN,2.67,2.7,,,,,,,
201110.0,Female,Non-Resident,0.0,II,4.0,24.0,2BY,N,240.0,N,240.0,N,,N,,,,,,,,,B,College of Health & Human Sci,Pre Psychology,29.0,258.0,450.0,490.0,490.0,940.0,1430.0,2.54,2.5,2.63,2.6,2.24,2.2,3.0,3.0,FREN,2.0,2.0,,,,,,,
201110.0,Female,Resident,4.0,II,4.0,24.0,2BY,GNN,241.0,GNN,241.0,GNN,,GNN,,201430.0,BS,College of Health & Human Sci,REMG - Retail Management,,NO,NO,B,College of Health & Human Sci,Retail Management,84.0,62.0,470.0,520.0,480.0,990.0,1470.0,3.56,3.6,3.95,4.0,3.5,3.5,2.88,2.9,FREN,3.57,3.6,,,,,,,
201110.0,Female,Resident,0.0,II,4.0,24.0,2BY,N,240.0,N,240.0,N,,N,,,,,,,,,B,College of Health & Human Sci,Nutrition Science,92.0,378.0,540.0,580.0,510.0,1120.0,1630.0,3.69,3.7,3.57,3.6,3.0,3.0,3.83,3.8,SPAN,4.0,4.0,,,,,,,
201110.0,Female,Non-Resident,4.0,II,5.0,25.0,2BY,GYY,251.0,GYY,251.0,GYY,,GYY,,201420.0,BA,College of Liberal Arts,PHTO - Photo & Related Media,,YES,YES,B,College of Health & Human Sci,Pre Athletic Training,74.0,363.0,550.0,550.0,550.0,1100.0,1650.0,3.17,3.2,3.47,3.5,2.6,2.6,3.27,3.3,SPAN,3.5,3.5,,,,,,,
201110.0,Female,Resident,0.0,II,4.0,24.0,2BY,N,240.0,N,240.0,N,,N,,,,,,,,,B,College of Health & Human Sci,General Health Sciences,97.0,319.0,590.0,510.0,530.0,1100.0,1630.0,3.85,3.9,3.67,3.7,4.0,4.0,3.67,3.7,SPAN,4.0,4.0,,,,,,,
